0,17
0,16
0,16
0,16
0,15
148.075,10
144.303,10
205.579,11
213.689,10
207.423,10
66.6722,3
30.4915,3
51.9774,3
17.5342,4
90.9679,4
520.695,2539
411.258,2321
414.116,2329
524.852,2322
457.061,2337
247.313,28767
149.329,26839
166.367,26799
258.233,26821
263.771,26811
1254.56,5374
925.193,5304
1274.67,5305
1176.59,5310
1386.05,5302
448.8,91235
262.5,86276
317.086,86277
343.434,86301
421.665,86467
1542.99,0
2146.35,0
1294.86,0
1376.5,0
1644.27,0
395.384,1286
322.42,1286
467.373,1286
428.937,1285
391.614,1285
1717.84,6128
2279.03,6174
2253.16,6144
1429.63,6146
2143.32,6164
