0,297
0,307
0,303
0,302
0,303
29.756,459
20.1405,450
33.2566,451
28.5003,452
44.02,450
8.01888,767
5.45379,771
13.8414,771
12.3992,771
11.4527,770
149.304,1402
166.401,1431
172.659,1430
157.311,1436
160.495,1429
74.8017,2533
89.4823,2547
84.4314,2558
68.0831,2542
68.1987,2535
549.765,6925
576.251,6805
583.248,6813
535.404,6721
531.222,7266
117.795,4521
92.5588,4455
91.6229,4493
110.375,4414
102.565,4457
656.838,13009
845.227,12484
849.946,12920
691.381,12893
751.567,12737
168.818,6741
155.533,6779
176.819,6702
149.809,6803
159.241,6602
947.582,21723
929.192,21765
897.193,20691
898.564,20636
1033.56,20587
