0,23
0,15
0,16
0,14
0,12
39.3737,1957
63.2731,4
51.0294,535
35.4875,2
65.012,670
44.0325,270
21.9014,484
27.9211,2499
33.36,59
36.5247,22053
186.529,85
152.24,26
370.944,134
234.281,14508
182.984,1422
97.5105,7422
83.9255,68163
76.6844,5810
151.344,29348
107.729,11655
789.822,31553
892.267,50433
762.984,1028
657.448,47433
631.334,26553
109.467,64538
238.254,6378
60.9593,158797
136.119,22785
79.5413,187981
1542.99,0
2146.35,0
1294.86,0
1376.5,0
1644.27,0
244.553,669
252.082,874
301.521,1971
250.751,3421
187.336,687
1157.07,2570
1380.77,14176
1152.8,2333
1146.83,2145
1076.55,3263
