0,26
0,14
0,24
0,30
0,19
61.4742,5948
42.2598,5390
56.1947,13834
52.4618,25
73.1179,5033
20.5172,382
25.1042,44061
19.1404,1900
36.9943,2380
9.43374,9442
176.85,5
249.986,544
279.461,43
221.393,2050
194.904,1741
87.7952,722
129.531,6
108.262,561
89.8281,1795
66.591,393
721.046,167251
702.061,5792
837.477,74861
759.555,9294
406.791,40425
101.079,176
191.603,1842
93.8623,630
82.6318,6422
69.8191,4889
656.943,65742
915.557,18634
869.18,17230
619.878,7612
790.226,20532
304.38,2526
223.465,22525
154.963,1149
151.313,5074
136.86,4724
1149.29,80
1012.25,3770
1033.25,227
1241.59,2097
1231.06,26
